"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2025","93.07","93.95","94.61","92.34","2.04M","-1.60%"
"01/30/2025","94.58","94.37","95.05","92.86","1.56M","0.81%"
"01/29/2025","93.82","94.84","95.17","93.46","2.25M","-1.46%"
"01/28/2025","95.21","96.20","96.83","94.83","1.63M","-1.36%"
"01/27/2025","96.52","93.28","96.53","93.18","1.90M","4.05%"
"01/24/2025","92.76","92.97","93.55","92.00","1.33M","-0.28%"
"01/23/2025","93.02","93.43","93.74","92.81","1.16M","-0.20%"
"01/22/2025","93.21","94.90","95.00","93.06","1.91M","-1.76%"
"01/21/2025","94.88","96.00","96.52","94.71","1.69M","-0.66%"
"01/17/2025","95.51","96.18","96.84","95.42","4.62M","-0.61%"
"01/16/2025","96.10","93.88","96.17","93.75","1.85M","2.65%"
"01/15/2025","93.62","93.10","93.75","92.74","1.96M","1.77%"
"01/14/2025","91.99","91.12","92.19","89.97","2.49M","1.28%"
"01/13/2025","90.83","89.84","91.32","89.47","1.51M","0.73%"
"01/10/2025","90.17","91.04","92.00","89.90","2.90M","-2.69%"
"01/08/2025","92.66","92.42","93.00","91.33","1.70M","0.44%"
"01/07/2025","92.25","90.74","93.25","90.57","2.14M","1.66%"
"01/06/2025","90.74","91.29","92.01","90.52","1.79M","-0.72%"
"01/03/2025","91.40","91.63","92.01","90.88","1.62M","0.02%"
"01/02/2025","91.38","92.95","93.04","91.18","1.03M","-1.05%"
"12/31/2024","92.35","92.40","92.47","91.66","1.10M","0.50%"
"12/30/2024","91.89","91.78","92.24","90.80","1.01M","-0.49%"
"12/27/2024","92.34","92.37","93.16","91.92","1.03M","-0.63%"
"12/26/2024","92.93","92.51","93.11","92.08","842.83K","0.28%"
"12/24/2024","92.67","92.34","92.74","91.87","767.10K","0.63%"
"12/23/2024","92.09","90.09","92.19","90.09","1.73M","1.21%"
"12/20/2024","90.99","88.63","91.35","88.53","5.11M","2.25%"
"12/19/2024","88.99","88.83","90.03","88.83","2.12M","0.32%"
"12/18/2024","88.71","90.81","90.98","88.67","2.01M","-2.01%"
"12/17/2024","90.53","90.84","90.87","89.88","2.49M","-0.89%"
"12/16/2024","91.34","93.40","93.42","91.17","2.77M","-2.23%"
"12/13/2024","93.42","94.17","94.33","93.36","2.07M","-0.53%"
"12/12/2024","93.92","94.23","95.36","93.67","1.45M","-0.16%"
"12/11/2024","94.07","93.56","94.12","92.42","1.52M","0.77%"
"12/10/2024","93.35","95.25","95.90","92.31","1.87M","-2.66%"
"12/09/2024","95.90","97.39","97.70","95.72","1.81M","-1.97%"
"12/06/2024","97.83","98.46","98.81","97.01","1.40M","-0.67%"
"12/05/2024","98.49","98.86","99.31","98.31","1.38M","0.01%"
"12/04/2024","98.48","99.74","99.99","98.29","1.55M","-1.05%"
"12/03/2024","99.53","100.00","100.48","98.69","1.97M","0.23%"
"12/02/2024","99.30","100.59","100.93","99.26","1.47M","-1.41%"
"11/29/2024","100.72","100.83","101.28","100.27","797.24K","-0.02%"
"11/27/2024","100.74","100.79","101.66","100.48","991.51K","0.33%"
"11/26/2024","100.41","100.10","100.69","99.42","1.27M","0.35%"
"11/25/2024","100.06","99.91","100.62","98.83","4.05M","0.37%"
"11/22/2024","99.69","98.62","99.80","98.03","1.57M","1.12%"
"11/21/2024","98.59","95.66","98.78","95.51","1.92M","3.01%"
